customer_no,num_stb_last_5_years,num_yrs_donor,num_yrs_sub,num_yrs_stb,Donor_Category
232786,9,16,18,21,Under-Patron
232867,1,1,0,4,Under-Patron
232995,0,6,0,1,Under-Patron
233106,3,12,20,15,Under-Patron
233309,3,17,7,11,Under-Patron
233617,0,3,15,15,Under-Patron
234369,4,2,17,14,Under-Patron
235324,0,3,5,1,Under-Patron
235849,5,8,6,9,Under-Patron
236132,0,8,14,13,Under-Patron
236346,5,1,1,5,Under-Patron
236506,1,9,13,13,Under-Patron
237071,0,22,1,10,Under-Patron
237229,9,18,18,15,Under-Patron
237692,9,3,7,5,Under-Patron
237904,1,1,0,2,Under-Patron
238203,12,14,22,18,Under-Patron
238263,0,16,15,16,Under-Patron
238402,2,20,22,12,Under-Patron
238800,3,15,14,12,Under-Patron
238967,1,15,15,10,Under-Patron
239469,11,4,12,10,Under-Patron
239482,1,2,4,1,Under-Patron
240621,6,2,2,10,Under-Patron
241227,6,1,22,19,Under-Patron
241514,14,12,16,16,Under-Patron
241601,0,2,1,9,Under-Patron
241701,0,19,22,15,Under-Patron
241720,0,1,1,4,Under-Patron
241968,7,13,18,16,Under-Patron
242277,2,3,10,11,Under-Patron
242761,6,18,21,20,Under-Patron
243885,4,2,0,7,Under-Patron
244241,4,8,16,18,Under-Patron
244418,4,4,18,14,Under-Patron
244576,2,8,18,12,Under-Patron
244672,2,12,22,15,Under-Patron
245048,0,9,15,16,Under-Patron
245085,0,7,7,15,Under-Patron
245105,2,22,4,13,Under-Patron
245263,0,15,15,12,Under-Patron
245522,10,13,18,16,Under-Patron
245728,0,2,5,7,Under-Patron
246267,2,18,14,15,Under-Patron
246385,4,18,17,14,Under-Patron
246401,1,4,6,7,Under-Patron
246686,1,2,1,7,Under-Patron
247244,2,1,0,6,Under-Patron
247359,4,10,11,12,Under-Patron
247778,7,8,12,12,Under-Patron
247975,2,15,22,14,Under-Patron
248060,4,5,10,13,Under-Patron
248127,2,5,3,8,Under-Patron
248178,0,18,15,16,Under-Patron
248286,0,4,13,9,Under-Patron
248615,4,1,1,7,Under-Patron
248798,1,2,0,1,Under-Patron
248867,2,3,0,7,Under-Patron
248936,5,3,9,8,Under-Patron
249445,12,1,13,15,Under-Patron
249466,7,2,7,7,Under-Patron
249555,5,13,17,16,Under-Patron
249701,0,10,1,6,Under-Patron
249707,8,13,17,7,Under-Patron
249783,4,1,0,7,Under-Patron
249809,4,1,21,17,Under-Patron
249927,3,9,17,12,Under-Patron
249986,3,1,3,12,Under-Patron
250533,1,1,0,5,Under-Patron
250828,1,8,18,18,Under-Patron
251546,0,19,18,15,Under-Patron
251780,19,2,16,18,Under-Patron
252064,7,1,1,4,Under-Patron
252160,13,11,11,15,Under-Patron
252173,1,2,6,5,Under-Patron
252220,4,2,1,6,Under-Patron
252267,1,1,4,3,Under-Patron
252347,0,11,11,7,Under-Patron
252695,0,2,1,6,Under-Patron
252750,0,13,2,12,Under-Patron
252772,27,14,17,20,Under-Patron
252805,2,1,3,7,Under-Patron
253433,2,3,2,6,Under-Patron
253538,14,8,10,12,Under-Patron
253568,9,6,2,12,Under-Patron
253588,3,1,3,9,Under-Patron
500451,0,1,0,3,Under-Patron
500970,11,12,15,14,Under-Patron
501022,0,5,1,9,Under-Patron
2209850,7,14,22,21,Under-Patron
2209918,13,3,16,19,Under-Patron
2209931,0,13,15,14,Under-Patron
2209986,0,4,12,7,Under-Patron
2210228,2,10,4,10,Under-Patron
2210420,18,5,20,17,Under-Patron
2211155,0,6,4,8,Under-Patron
2211675,1,2,2,5,Under-Patron
2211687,5,9,13,16,Under-Patron
2212006,2,18,10,10,Under-Patron
2213706,10,3,14,9,Under-Patron
2213914,6,1,3,11,Under-Patron
2214787,21,12,19,20,Under-Patron
2215867,2,5,2,5,Under-Patron
2216247,0,2,0,3,Under-Patron
2216347,10,2,1,2,Under-Patron
2216563,0,8,0,12,Under-Patron
2216627,7,10,18,17,Under-Patron
2216744,13,8,13,16,Under-Patron
2217790,16,5,19,21,Under-Patron
2218182,2,9,12,11,Under-Patron
2218640,6,1,3,2,Under-Patron
2218888,1,11,14,14,Under-Patron
2219478,2,12,17,17,Under-Patron
2219793,6,7,21,17,Under-Patron
2220342,0,9,0,1,Under-Patron
2220759,1,15,5,7,Under-Patron
