customer_no,Affinity_Rating,Capacity_Rating,PROscore,Frequency,Monetary,Propensity_Rating,Donor_Category
3209562,1,1,1,,,1,Under-Patron
3209657,1,2,1,,,1,Under-Patron
3209674,1,1,1,,,1,Under-Patron
3209676,,,,,,,Under-Patron
3209700,1,1,1,1,1,2,Under-Patron
3209748,1,1,1,1,1,1,Under-Patron
3209759,1,2,1,,,1,Under-Patron
3209761,1,1,1,,,1,Under-Patron
3209903,1,1,1,1,1,1,Under-Patron
3209969,1,2,1,,,1,Under-Patron
3210000,1,1,1,1,1,1,Under-Patron
3210017,1,1,1,1,1,1,Under-Patron
3210019,1,2,1,1,1,1,Under-Patron
3210026,1,3,3,1,1,4,Under-Patron
3210028,1,2,2,1,1,4,Under-Patron
3210114,1,1,1,,,1,Under-Patron
3210124,1,1,1,1,1,1,Under-Patron
3210139,1,1,1,1,1,1,Under-Patron
3210161,1,2,2,1,1,2,Under-Patron
3210223,1,3,2,1,1,1,Under-Patron
3210238,1,1,1,,,1,Under-Patron
3210256,1,2,1,1,1,1,Under-Patron
3210281,1,1,1,1,1,1,Under-Patron
3210328,4,2,3,1,1,4,Under-Patron
3210341,4,3,4,1,1,4,Under-Patron
3210355,1,1,1,1,1,1,Under-Patron
3210399,1,4,2,,,1,Under-Patron
3210408,1,1,1,1,1,1,Under-Patron
3210434,1,1,1,,,1,Under-Patron
3210435,1,1,1,1,1,1,Under-Patron
3210442,1,2,2,1,1,2,Under-Patron
3210448,1,1,1,,,1,Under-Patron
3210456,1,3,3,,,4,Under-Patron
3210472,1,3,2,1,1,1,Under-Patron
3210480,1,1,2,1,1,4,Under-Patron
3210490,4,2,3,1,1,4,Under-Patron
3210494,1,2,2,1,1,4,Under-Patron
3210496,1,1,2,1,1,4,Under-Patron
3210515,2,4,3,1,1,4,Under-Patron
3210796,1,2,2,1,1,4,Under-Patron
3210889,1,1,1,1,1,1,Under-Patron
3210929,1,2,1,1,1,1,Under-Patron
3210933,1,2,2,1,1,3,Under-Patron
3210935,1,3,2,1,1,2,Under-Patron
3210965,1,3,3,,,4,Under-Patron
3210966,4,2,3,1,1,4,Under-Patron
3211005,1,1,1,1,1,1,Under-Patron
3211017,4,2,3,1,1,4,Under-Patron
3211136,1,1,1,,,1,Under-Patron
3211143,1,1,1,,,1,Under-Patron
3211159,1,1,1,1,1,1,Under-Patron
3211216,1,2,2,1,1,4,Under-Patron
3211247,3,2,3,1,1,4,Under-Patron
3211260,3,2,3,,,4,Under-Patron
3211267,4,2,3,1,1,4,Under-Patron
3211292,1,1,2,1,1,3,Under-Patron
3211302,3,1,3,1,1,4,Under-Patron
3211303,1,1,2,1,1,3,Under-Patron
3211315,1,2,1,,,1,Under-Patron
3211316,3,1,3,,,4,Under-Patron
3211336,1,1,1,1,1,1,Under-Patron
3211337,1,1,1,1,1,2,Under-Patron
3211338,3,2,3,1,1,4,Under-Patron
3211344,1,1,2,,,4,Under-Patron
3211347,1,1,1,1,1,1,Under-Patron
3211369,1,2,1,1,1,1,Under-Patron
3211418,1,2,1,1,1,1,Under-Patron
3211494,1,2,2,1,1,4,Under-Patron
3211497,3,1,2,1,1,3,Under-Patron
3211527,1,1,1,,,1,Under-Patron
3211536,1,1,1,1,1,1,Under-Patron
3211568,1,1,1,,,2,Under-Patron
3211571,1,2,1,,,1,Under-Patron
3211690,3,1,3,,,4,Under-Patron
3211701,1,1,1,1,1,1,Under-Patron
3211709,1,1,1,,,2,Under-Patron
3211735,1,2,1,,,1,Under-Patron
3211761,1,1,1,,,1,Under-Patron
3211764,1,1,1,1,1,1,Under-Patron
3211766,1,1,1,1,1,1,Under-Patron
3211797,1,2,2,,,3,Under-Patron
3211801,3,4,4,,,4,Under-Patron
3211907,3,2,3,,,4,Under-Patron
3211936,1,1,1,1,1,1,Under-Patron
3211980,1,4,2,1,1,1,Under-Patron
3211989,1,2,1,,,1,Under-Patron
3212024,1,2,2,1,1,4,Under-Patron
3212094,1,1,1,,,1,Under-Patron
3212112,1,1,1,1,1,1,Under-Patron
3212139,1,4,3,,,4,Under-Patron
3212151,1,2,1,,,1,Under-Patron
3212219,1,2,1,1,1,1,Under-Patron
3212250,1,1,1,1,1,1,Under-Patron
3212263,4,1,3,1,1,4,Under-Patron
3212271,1,1,2,,,3,Under-Patron
3212291,1,3,2,1,1,1,Under-Patron
3212304,1,2,1,1,1,1,Under-Patron
3212330,1,1,2,1,1,4,Under-Patron
3212331,1,1,1,1,1,1,Under-Patron
3212351,1,2,1,,,1,Under-Patron
3212382,4,2,3,1,1,4,Under-Patron
3212447,1,1,1,,,1,Under-Patron
3212478,1,1,1,,,1,Under-Patron
3212492,1,1,1,1,1,1,Under-Patron
3212511,1,1,1,,,1,Under-Patron
3212512,4,2,3,1,1,4,Under-Patron
3212647,3,1,2,,,2,Under-Patron
3212650,1,1,2,1,1,3,Under-Patron
3212670,1,2,1,1,1,1,Under-Patron
3212682,1,1,1,1,1,1,Under-Patron
3212697,3,2,3,,,4,Under-Patron
3212742,1,2,2,1,1,4,Under-Patron
3212863,1,1,1,,,1,Under-Patron
3212886,1,2,2,,,3,Under-Patron
3212963,1,2,2,,,2,Under-Patron
3212982,1,1,1,1,1,1,Under-Patron
3213013,1,1,1,,,1,Under-Patron
3213014,1,2,1,1,1,1,Under-Patron
3213032,1,1,1,,,1,Under-Patron
3213124,4,2,3,1,1,4,Under-Patron
3213188,1,2,1,1,1,1,Under-Patron
3213206,1,1,1,,,1,Under-Patron
3213223,1,1,1,1,1,1,Under-Patron
3213228,3,4,4,,,4,Under-Patron
3213237,1,1,1,1,1,1,Under-Patron
3213241,4,4,4,,,4,Under-Patron
3213266,1,4,2,,,1,Under-Patron
3213275,4,3,4,1,1,4,Under-Patron
3213291,1,1,1,,,1,Under-Patron
3213295,1,1,1,1,1,1,Under-Patron
3213301,1,1,1,1,1,1,Under-Patron
3213306,3,3,3,1,1,2,Under-Patron
3213313,1,1,1,1,1,2,Under-Patron
3213327,3,1,3,1,1,4,Under-Patron
3213331,1,1,1,1,1,1,Under-Patron
3213343,1,2,1,1,1,1,Under-Patron
3213351,1,1,1,1,1,1,Under-Patron
3213378,1,1,2,1,1,4,Under-Patron
3213380,1,1,1,1,1,1,Under-Patron
3213384,1,1,1,1,1,1,Under-Patron
3213418,3,4,4,1,1,4,Under-Patron
3213444,1,2,2,1,1,4,Under-Patron
3213457,1,1,1,1,1,1,Under-Patron
3213460,1,1,1,1,1,1,Under-Patron
3213475,1,1,1,,,1,Under-Patron
3213484,1,2,2,1,1,4,Under-Patron
3213504,1,2,1,1,1,1,Under-Patron
3213512,1,2,1,1,1,1,Under-Patron
3213514,1,1,1,,,1,Under-Patron
3213522,1,1,1,1,1,1,Under-Patron
3213525,1,1,1,1,1,1,Under-Patron
3213535,3,1,2,1,1,3,Under-Patron
3213537,1,1,1,1,1,1,Under-Patron
3213639,1,1,2,1,1,4,Under-Patron
3213640,1,2,2,,,4,Under-Patron
3213643,1,2,2,1,1,3,Under-Patron
3213651,1,1,1,1,1,1,Under-Patron
3213663,1,1,1,1,1,1,Under-Patron
3213668,1,2,1,1,1,1,Under-Patron
3213725,3,1,2,1,1,3,Under-Patron
3213767,3,2,3,,,3,Under-Patron
3213773,4,2,3,,,4,Under-Patron
3213781,3,1,2,1,1,3,Under-Patron
3213795,3,2,3,1,1,4,Under-Patron
3216165,1,2,2,,,4,Under-Patron
3216166,3,2,3,1,1,4,Under-Patron
3216171,,,,,,,Under-Patron
3216172,1,1,1,1,1,1,Under-Patron
