customer_no,Days Since Last Ticket Order,Days Since Last Gift,Days Since Last Activity Date,Contribution_Last_Amount,Contribution_last_year_giving,Days since Last Contribution,Donor_Category
3093013,124,1505,80,100,,1506,Under-Patron
3093020,1031,1008,321,5,,1009,Under-Patron
3093504,101,230,88,25,25,231,Under-Patron
3093764,351,239,223,50,50,240,Under-Patron
3093773,440,963,359,22.65,,964,Under-Patron
3093903,125,77,22,250,250,363,Under-Patron
3094194,108,106,22,500,500,107,Under-Patron
3094262,2035,1621,686,1000,,1622,Under-Patron
3094264,866,1303,376,100,,1304,Under-Patron
3094385,77,28,14,150,150,29,Under-Patron
3094394,2640,1665,1089,75,,1666,Under-Patron
3094437,960,959,359,23.5,,960,Under-Patron
3094583,1003,231,189,50,50,232,Under-Patron
3094597,727,127,22,500,1000,128,Under-Patron
3094671,45868,237,22,100,100,238,Under-Patron
3094821,2066,1541,1089,100,,1542,Under-Patron
3094994,631,631,321,17.5,,632,Under-Patron
3095004,816,1443,376,29.7,,1444,Under-Patron
3095058,971,970,359,10.5,,971,Under-Patron
3095059,711,802,291,2500,,803,Under-Patron
3095105,72,705,35,5,,706,Under-Patron
3095138,1973,1511,275,50,,1512,Under-Patron
3095160,800,804,0,2500,,805,Under-Patron
3095174,118,20,7,5000,5000,20,Under-Patron
3095200,1356,1448,683,100,,1449,Under-Patron
3095224,69,57,7,2500,2500,58,Under-Patron
3095243,39,1497,39,32.7,,1498,Under-Patron
3095246,79,714,78,100,,762,Under-Patron
3095268,2516,1460,1089,250,,1461,Under-Patron
3095322,315,1490,315,75,,1498,Under-Patron
3095432,2575,1287,700,50,,1288,Under-Patron
3095444,2574,1510,1089,250,,1511,Under-Patron
3095519,1442,1441,376,10,,1442,Under-Patron
3095631,1525,1356,683,100,,1356,Under-Patron
3095650,104,1469,103,75,,1470,Under-Patron
3095716,98,46,22,250,500,47,Under-Patron
3095740,2294,1699,1089,25,,1700,Under-Patron
3096007,564,1345,288,200,,1346,Under-Patron
3096293,204,673,184,10,,674,Under-Patron
3097601,93,589,93,5,,590,Under-Patron
3097610,45868,1779,1089,25,,1780,Under-Patron
3097622,1477,1302,376,100,,1303,Under-Patron
3097704,618,617,321,3,,618,Under-Patron
3097898,1370,707,677,10,,1371,Under-Patron
3097920,2046,1700,1089,20,,1701,Under-Patron
3097928,1380,589,22,100,,590,Under-Patron
3098294,2526,1732,1089,250,,1822,Under-Patron
3098372,45868,254,22,250,250,254,Under-Patron
3098434,45868,755,321,100,,756,Under-Patron
3098647,56,1176,7,25,,1177,Under-Patron
3098759,33,453,7,2500,,454,Under-Patron
3098839,45868,1300,393,1000,,1301,Under-Patron
3098993,1287,742,321,50,,743,Under-Patron
3098997,2494,1476,1089,50,,1477,Under-Patron
3099073,2013,1321,726,50,,1322,Under-Patron
3099162,2491,1412,726,500,,1413,Under-Patron
3099507,298,554,298,1,,555,Under-Patron
3099752,1022,1456,376,50,,1460,Under-Patron
3100023,1440,1440,376,5,,1441,Under-Patron
3100158,95,942,95,200,,943,Under-Patron
3100474,972,1194,376,35,,1195,Under-Patron
3100493,918,918,321,4.5,,918,Under-Patron
3101373,96,963,53,100,,964,Under-Patron
3101819,1177,1712,777,200,,1713,Under-Patron
3102022,848,1511,376,100,,1512,Under-Patron
3102033,45868,215,138,10,10,216,Under-Patron
3102062,1506,1329,376,100,,1330,Under-Patron
3102176,817,817,321,5,,818,Under-Patron
3102280,914,911,321,10,,912,Under-Patron
3102322,169,168,138,16.5,29,169,Under-Patron
3102381,546,649,321,7.5,,650,Under-Patron
3102439,573,568,376,33.5,,1245,Under-Patron
3102467,2062,1712,1089,250,,1713,Under-Patron
3102510,1111,236,22,100,100,237,Under-Patron
3102604,1237,1303,376,25,,1304,Under-Patron
3102780,1177,1176,686,50,,1177,Under-Patron
3102789,452,1057,67,136.4,,1058,Under-Patron
3102938,1179,1176,376,25,,1177,Under-Patron
3102994,2370,1687,666,100,,1688,Under-Patron
3103089,100,174,90,19.5,19.5,175,Under-Patron
3103150,1192,1191,700,14.75,,1192,Under-Patron
3103297,193,851,193,13.55,,852,Under-Patron
3103387,356,85,22,500,500,86,Under-Patron
3103414,2352,215,22,100,100,216,Under-Patron
3103479,2345,741,321,50,,742,Under-Patron
3103548,45868,210,22,500,1000,211,Under-Patron
3103663,2023,45868,321,1000,,1170,Under-Patron
3103677,1518,1253,325,100,,1552,Under-Patron
3103682,2326,1519,376,100,,1520,Under-Patron
3103728,109,106,105,16.2,16.2,107,Under-Patron
3103737,137,294,22,2000,2010,177,Under-Patron
3103760,63,60,60,14,14,62,Under-Patron
3103800,352,239,22,250,250,240,Under-Patron
3103811,1072,1071,321,7,,1072,Under-Patron
